subtest;age;rw;sw
SE;19;5;82
SE;19;6;85
SE;19;7;87
SE;19;8;90
SE;19;9;93
SE;19;10;96
SE;19;11;99
SE;19;12;101
SE;19;13;104
SE;19;14;107
SE;19;15;110
SE;19;16;113
SE;19;17;116
SE;19;18;119
SE;19;19;122
SE;19;20;124
SE;20;0;68
SE;20;1;70
SE;20;2;73
SE;20;3;76
SE;20;4;79
SE;20;5;82
SE;20;6;85
SE;20;7;87
SE;20;8;90
SE;20;9;93
SE;20;10;96
SE;20;11;99
SE;20;12;101
SE;20;13;104
SE;20;14;107
SE;20;15;110
SE;20;16;113
SE;20;17;116
SE;20;18;119
SE;20;19;122
SE;20;20;124
SE;21,22,23,24;0;66
SE;21,22,23,24;1;68
SE;21,22,23,24;2;71
SE;21,22,23,24;3;74
SE;21,22,23,24;4;78
SE;21,22,23,24;5;80
SE;21,22,23,24;6;83
SE;21,22,23,24;7;86
SE;21,22,23,24;8;89
SE;21,22,23,24;9;92
SE;21,22,23,24;10;95
SE;21,22,23,24;11;98
SE;21,22,23,24;12;101
SE;21,22,23,24;13;104
SE;21,22,23,24;14;107
SE;21,22,23,24;15;110
SE;21,22,23,24;16;113
SE;21,22,23,24;17;116
SE;21,22,23,24;18;119
SE;21,22,23,24;19;123
SE;21,22,23,24;20;126
SE;25,26,27,28;0;65
SE;25,26,27,28;1;67
SE;25,26,27,28;2;70
SE;25,26,27,28;3;73
SE;25,26,27,28;4;76
SE;25,26,27,28;5;79
SE;25,26,27,28;6;82
SE;25,26,27,28;7;86
SE;25,26,27,28;8;89
SE;25,26,27,28;9;92
SE;25,26,27,28;10;95
SE;25,26,27,28;11;98
SE;25,26,27,28;12;101
SE;25,26,27,28;13;104
SE;25,26,27,28;14;108
SE;25,26,27,28;15;111
SE;25,26,27,28;16;114
SE;25,26,27,28;17;117
SE;25,26,27,28;18;120
SE;25,26,27,28;19;123
SE;25,26,27,28;20;126
SE;29,30,31,32,33;0;65
SE;29,30,31,32,33;1;68
SE;29,30,31,32,33;2;71
SE;29,30,31,32,33;3;74
SE;29,30,31,32,33;4;78
SE;29,30,31,32,33;5;81
SE;29,30,31,32,33;6;82
SE;29,30,31,32,33;7;86
SE;29,30,31,32,33;8;89
SE;29,30,31,32,33;9;92
SE;29,30,31,32,33;10;93
SE;29,30,31,32,33;11;98
SE;29,30,31,32,33;12;101
SE;29,30,31,32,33;13;104
SE;29,30,31,32,33;14;107
SE;29,30,31,32,33;15;110
SE;29,30,31,32,33;16;113
SE;29,30,31,32,33;17;116
SE;29,30,31,32,33;18;119
SE;29,30,31,32,33;19;122
SE;29,30,31,32,33;20;126
SE;34,35,36,37,38,39;0;68
SE;34,35,36,37,38,39;1;71
SE;34,35,36,37,38,39;2;75
SE;34,35,36,37,38,39;3;77
SE;34,35,36,37,38,39;4;80
SE;34,35,36,37,38,39;5;83
SE;34,35,36,37,38,39;6;86
SE;34,35,36,37,38,39;7;89
SE;34,35,36,37,38,39;8;92
SE;34,35,36,37,38,39;9;95
SE;34,35,36,37,38,39;10;98
SE;34,35,36,37,38,39;11;101
SE;34,35,36,37,38,39;12;104
SE;34,35,36,37,38,39;13;107
SE;34,35,36,37,38,39;14;110
SE;34,35,36,37,38,39;15;113
SE;34,35,36,37,38,39;16;116
SE;34,35,36,37,38,39;17;119
SE;34,35,36,37,38,39;18;121
SE;34,35,36,37,38,39;19;124
SE;34,35,36,37,38,39;20;128
SE;40,41,42,43,44,45;0;73
SE;40,41,42,43,44,45;1;75
SE;40,41,42,43,44,45;2;78
SE;40,41,42,43,44,45;3;81
SE;40,41,42,43,44,45;4;84
SE;40,41,42,43,44,45;5;87
SE;40,41,42,43,44,45;6;90
SE;40,41,42,43,44,45;7;92
SE;40,41,42,43,44,45;8;95
SE;40,41,42,43,44,45;9;98
SE;40,41,42,43,44,45;10;101
SE;40,41,42,43,44,45;11;104
SE;40,41,42,43,44,45;12;107
SE;40,41,42,43,44,45;13;110
SE;40,41,42,43,44,45;14;113
SE;40,41,42,43,44,45;15;115
SE;40,41,42,43,44,45;16;118
SE;40,41,42,43,44,45;17;121
SE;40,41,42,43,44,45;18;124
SE;40,41,42,43,44,45;19;127
SE;40,41,42,43,44,45;20;130
SE;46;0;75
SE;46;1;78
SE;46;2;81
SE;46;3;84
SE;46;4;87
SE;46;5;90
SE;46;6;93
SE;46;7;96
SE;46;8;99
SE;46;9;102
SE;46;10;104
SE;46;11;107
SE;46;12;110
SE;46;13;113
SE;46;14;116
SE;46;15;119
SE;46;16;122
SE;46;17;125
SE;46;18;128
SE;46;19;131
SE;46;20;134
